Timestamp,Percentage(%),Voltage(mV),ChargeState
2026-03-05 14:39:39,100,4175.79,DISCHARGING
2026-03-05 14:39:41,100,4174.18,DISCHARGING
2026-03-05 14:39:43,100,4172.57,DISCHARGING
2026-03-05 14:39:45,100,4172.82,DISCHARGING
2026-03-05 14:39:47,100,4173.28,DISCHARGING
2026-03-05 14:39:49,100,4173.81,DISCHARGING
2026-03-05 14:39:51,100,4174.14,DISCHARGING
2026-03-05 14:39:53,100,4174.49,DISCHARGING
2026-03-05 14:39:55,100,4174.75,DISCHARGING
2026-03-05 14:39:57,100,4174.8,DISCHARGING
2026-03-05 14:39:59,100,4175.13,DISCHARGING
2026-03-05 14:40:01,100,4175.16,DISCHARGING
2026-03-05 14:40:03,100,4175.49,DISCHARGING
2026-03-05 14:40:05,100,4175.46,DISCHARGING
2026-03-05 14:40:07,100,4175.7,DISCHARGING
2026-03-05 14:40:09,100,4175.37,DISCHARGING
2026-03-05 14:40:11,100,4175.6,DISCHARGING
2026-03-05 14:40:13,100,4175.59,DISCHARGING
2026-03-05 14:40:15,100,4175.82,DISCHARGING
2026-03-05 14:40:17,100,4175.81,DISCHARGING
2026-03-05 14:40:19,100,4176.02,DISCHARGING
2026-03-05 14:40:21,100,4175.97,DISCHARGING
2026-03-05 14:40:23,100,4176.07,DISCHARGING
2026-03-05 14:40:25,100,4175.96,DISCHARGING
2026-03-05 14:40:27,100,4175.99,DISCHARGING
2026-03-05 14:40:29,100,4176.11,DISCHARGING
2026-03-05 14:40:31,100,4175.9,DISCHARGING
2026-03-05 14:40:33,100,4175.6,DISCHARGING
2026-03-05 14:40:35,100,4175.33,DISCHARGING
2026-03-05 14:40:37,100,4175.16,DISCHARGING
2026-03-05 14:40:39,100,4174.8,DISCHARGING
2026-03-05 14:40:41,100,4174.64,DISCHARGING
2026-03-05 14:40:43,100,4174.0,DISCHARGING
2026-03-05 14:40:45,100,4173.84,DISCHARGING
2026-03-05 14:40:47,100,4173.43,DISCHARGING
2026-03-05 14:40:49,100,4173.11,DISCHARGING
2026-03-05 14:40:51,100,4172.5,DISCHARGING
2026-03-05 14:40:53,100,4172.33,DISCHARGING
2026-03-05 14:40:55,100,4171.81,DISCHARGING
2026-03-05 14:40:57,100,4171.55,DISCHARGING
2026-03-05 14:40:59,100,4171.16,DISCHARGING
2026-03-05 14:41:01,100,4170.89,DISCHARGING
2026-03-05 14:41:03,100,4170.71,DISCHARGING
2026-03-05 14:41:05,100,4170.36,DISCHARGING
2026-03-05 14:41:07,100,4170.19,DISCHARGING
2026-03-05 14:41:09,100,4169.72,DISCHARGING
2026-03-05 14:41:11,100,4169.47,DISCHARGING
2026-03-05 14:41:13,100,4168.93,DISCHARGING
2026-03-05 14:41:15,100,4168.93,DISCHARGING
2026-03-05 14:41:17,100,4168.66,DISCHARGING
2026-03-05 14:41:19,100,4168.39,DISCHARGING
2026-03-05 14:41:21,100,4168.12,DISCHARGING
2026-03-05 14:41:23,100,4167.86,DISCHARGING
2026-03-05 14:41:25,100,4167.72,DISCHARGING
2026-03-05 14:41:27,100,4167.48,DISCHARGING
2026-03-05 14:41:29,100,4167.49,DISCHARGING
2026-03-05 14:41:31,100,4167.18,DISCHARGING
2026-03-05 14:41:33,100,4167.19,DISCHARGING
2026-03-05 14:41:35,100,4166.67,DISCHARGING
2026-03-05 14:41:37,100,4166.7,DISCHARGING
2026-03-05 14:41:39,100,4166.45,DISCHARGING
2026-03-05 14:41:41,100,4166.44,DISCHARGING
2026-03-05 14:41:43,100,4165.79,DISCHARGING
2026-03-05 14:41:45,100,4165.86,DISCHARGING
2026-03-05 14:41:47,100,4165.63,DISCHARGING
2026-03-05 14:41:49,100,4165.38,DISCHARGING
